City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,sitka,57.0531,-135.33,15.94,77,75,3.09,US,1689885015
288,lensk,60.7253,114.9278,14.23,89,97,2.12,RU,1689885198
289,ust-nera,64.5667,143.2,24.56,42,76,2.74,RU,1689885137
290,kalmunai,7.4167,81.8167,27.15,65,92,1.51,LK,1689885178
291,borogontsy,62.6683,131.1683,12.52,99,100,2.38,RU,1689885234
292,rio gallegos,-51.6226,-69.2181,3.03,93,100,5.14,AR,1689885087
293,sungai penuh,-2.0833,101.3833,17.13,95,100,0.62,ID,1689885234
294,chonchi,-42.6128,-73.8092,12.29,80,48,4.19,CL,1689885185
295,east london,-33.0153,27.9116,14.37,50,100,6.13,ZA,1689885176
296,al khums,32.6486,14.2619,27.61,74,0,1.59,LY,1689885235
297,thabazimbi,-24.5917,27.4116,11.03,76,20,3.53,ZA,1689885235
298,puerto leguizamo,-0.1934,-74.7819,26.92,89,39,0.62,CO,1689885235
299,shilin,24.8188,103.3324,15.59,97,53,0.79,CN,1689885235
300,piton saint-leu,-21.2196,55.3151,19.67,73,0,2.57,RE,1689885235
301,san juan nepomuceno,9.9516,-75.082,34.04,50,39,1.13,CO,1689885235
302,gamba,-2.65,10.0,20.71,92,58,2.34,GA,1689885235
303,cerro largo,-28.1486,-54.7381,17.39,89,66,2.38,BR,1689885235
304,manakara,-22.1333,48.0167,20.1,91,24,0.54,MG,1689885235
305,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1689885170
306,susuman,62.7833,148.1667,21.41,57,9,2.31,RU,1689885176
307,kashgar,39.4547,75.9797,30.56,23,98,5.0,CN,1689885235
308,howard springs,-12.497,131.047,20.95,51,44,2.56,AU,1689885129
309,zouerate,22.7187,-12.4521,36.92,20,0,7.94,MR,1689885158
310,devils lake,48.1128,-98.8651,25.06,49,75,3.13,US,1689885236
311,kingscliff,-28.2667,153.5667,6.89,93,0,0.51,AU,1689885236
312,hasaki,35.7333,140.8333,25.17,87,0,4.5,JP,1689885113
313,sarupathar,26.1984,93.8094,25.3,97,100,0.15,IN,1689885236
314,puerto deseado,-47.7503,-65.8938,8.19,83,100,6.74,AR,1689885236
315,wanparti,16.3667,78.0667,23.19,84,100,7.08,IN,1689885236
316,xacmaz,41.4635,48.806,23.3,64,0,0.93,AZ,1689885236
317,sao miguel do araguaia,-13.275,-50.1628,28.99,22,92,2.8,BR,1689885237
318,magadan,59.5667,150.8,15.93,79,18,1.46,RU,1689885180
319,podari,44.25,23.7833,24.72,71,0,3.09,RO,1689885237
320,okhotsk,59.3833,143.3,14.53,84,26,1.41,RU,1689885182
321,jaisalmer,26.9147,70.9181,33.29,55,19,2.77,IN,1689885237
322,bugana,7.9992,7.5836,24.06,95,71,2.53,NG,1689885237
323,san andres,12.5847,-81.7006,31.01,79,20,6.69,CO,1689885237
324,margate,51.3813,1.3862,17.17,85,94,2.24,GB,1689885181
325,es castell,39.8795,4.2854,27.38,94,0,4.63,ES,1689885005
326,manaure,11.7751,-72.4445,34.07,47,20,9.88,CO,1689885237
327,port mathurin,-19.6833,63.4167,23.27,68,8,7.82,MU,1689885123
328,tadine,-21.55,167.8833,20.67,63,0,6.45,NC,1689885180
329,qamdo,31.1667,97.2333,2.43,79,21,2.19,CN,1689885237
330,uzgen,40.7699,73.3007,26.16,41,81,2.46,KG,1689885237
331,mongo,12.1844,18.693,25.77,66,100,1.23,TD,1689885238
332,saint-philippe,-21.3585,55.7679,20.77,81,29,2.56,RE,1689885169
333,hermanus,-34.4187,19.2345,9.89,79,0,3.73,ZA,1689885113
334,itaituba,-4.2761,-55.9836,35.09,46,20,2.57,BR,1689885238
335,funafuti,-8.5243,179.1942,30.0,84,75,0.0,TV,1689885238
336,kapa'a,22.0752,-159.319,28.18,70,100,9.26,US,1689885238
337,novobataysk,46.8981,39.7819,24.34,46,72,2.93,RU,1689885238
338,alice springs,-23.7,133.8833,8.75,81,0,4.63,AU,1689885053
339,ciudad lazaro cardenas,17.9583,-102.2,31.99,61,84,4.87,MX,1689885238
340,kayyerkan,69.3786,87.7439,15.72,100,39,3.69,RU,1689885140
341,port hedland,-20.3167,118.5667,19.03,42,2,5.66,AU,1689885193
342,lyubim,58.3625,40.6843,13.67,83,96,4.77,RU,1689885238
343,beau vallon,-20.4189,57.6953,21.23,88,20,1.54,MU,1689884947
344,gutao,37.2025,112.1781,21.87,72,95,0.27,CN,1689885238
345,bulayevo,54.9056,70.4439,18.07,73,83,3.3,KZ,1689885239
346,chinsali,-10.5414,32.0816,16.02,53,0,3.63,ZM,1689885239
347,boguchany,58.3814,97.4531,14.6,62,0,1.3,RU,1689885239
348,singapore,1.2897,103.8501,27.8,92,75,2.57,SG,1689884799
349,bubaque,11.2833,-15.8333,27.49,79,100,4.31,GW,1689885130
350,st. john's,47.5649,-52.7093,27.66,61,40,7.2,CA,1689885006
351,mushie,-3.0167,16.9,26.78,42,60,1.45,CD,1689885239
352,mogocha,53.7333,119.7667,12.18,69,93,0.71,RU,1689885239
353,medina,24.4686,39.6142,37.24,6,0,4.12,SA,1689885239
354,revda,56.801,59.9303,13.15,84,48,3.32,RU,1689885239
355,igunga,-4.2833,33.8833,20.57,34,1,2.64,TZ,1689885239
356,magnitka,55.3475,59.6961,14.43,50,63,1.99,RU,1689885240
357,ankazobe,-18.3167,47.1167,16.67,72,82,1.59,MG,1689885240
358,ringkobing,56.0901,8.244,13.34,73,61,7.92,DK,1689885240
359,tangalle,6.024,80.7911,25.99,85,81,5.61,LK,1689885174
360,akureyri,65.6835,-18.0878,9.96,76,20,6.17,IS,1689885193
361,fortuna foothills,32.6578,-114.4119,45.68,17,20,2.24,US,1689885240
